sample_id,species,batch,treatment,ultrasound
0,A. domesticus,1,A,1
1,A. domesticus,1,A,1
2,A. domesticus,1,A,1
3,A. domesticus,1,A,1
4,A. domesticus,1,A,1
5,A. domesticus,1,A,1
6,A. domesticus,1,A,1
7,A. domesticus,1,A,1
8,A. domesticus,1,A,1
9,A. domesticus,1,A,1
10,A. domesticus,1,A,1
11,A. domesticus,1,A,1
12,A. domesticus,1,A,1
13,A. domesticus,1,A,1
14,A. domesticus,1,A,1
15,A. domesticus,1,A,1
16,A. domesticus,1,A,1
17,A. domesticus,1,A,1
18,A. domesticus,1,A,1
19,A. domesticus,1,A,1
20,A. domesticus,1,A,1
21,A. domesticus,1,A,1
22,A. domesticus,1,A,1
23,A. domesticus,1,A,1
24,A. domesticus,1,A,1
25,A. domesticus,1,A,1
26,A. domesticus,1,A,1
27,A. domesticus,1,A,1
28,A. domesticus,1,A,1
29,A. domesticus,1,A,1
30,A. domesticus,1,A,1
31,A. domesticus,1,A,1
32,A. domesticus,1,A,1
33,A. domesticus,1,A,1
34,A. domesticus,1,A,1
35,A. domesticus,1,A,1
36,A. domesticus,1,A,1
37,A. domesticus,1,A,1
38,A. domesticus,1,A,1
39,A. domesticus,1,A,1
40,A. domesticus,1,A,1
41,A. domesticus,1,A,1
42,A. domesticus,1,A,1
43,A. domesticus,1,A,1
44,A. domesticus,1,A,1
45,A. domesticus,1,A,1
46,A. domesticus,1,A,1
47,A. domesticus,1,A,1
48,A. domesticus,1,A,1
49,A. domesticus,1,A,1
50,A. domesticus,1,A,0
51,A. domesticus,1,A,0
52,A. domesticus,1,A,0
53,A. domesticus,1,A,0
54,A. domesticus,1,A,0
55,A. domesticus,1,A,0
56,A. domesticus,1,A,0
57,A. domesticus,1,A,0
58,A. domesticus,1,A,0
59,A. domesticus,1,A,0
60,A. domesticus,1,A,0
61,A. domesticus,1,A,0
62,A. domesticus,1,A,0
63,A. domesticus,1,A,0
64,A. domesticus,1,A,0
65,A. domesticus,1,A,0
66,A. domesticus,1,A,0
67,A. domesticus,1,A,0
68,A. domesticus,1,A,0
69,A. domesticus,1,A,0
70,A. domesticus,1,A,0
71,A. domesticus,1,A,0
72,A. domesticus,1,A,0
73,A. domesticus,1,A,0
74,A. domesticus,1,A,0
75,A. domesticus,1,A,0
76,A. domesticus,1,A,0
77,A. domesticus,1,A,0
78,A. domesticus,1,A,0
79,A. domesticus,1,A,0
80,A. domesticus,1,A,0
81,A. domesticus,1,A,0
82,A. domesticus,1,A,0
83,A. domesticus,1,A,0
