sample_id,2050,2040,2030,2020,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,1780,1770,1760,1750,1740,1730,1720,1710,1700,1690,1680,1670,1660,1650,1640,1630,1620,1610,1600,1590,1580,1570,1560,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1400,1390,1380,1370,1360,1350,1340,1330,1320,1310,1300,1290,1280,1270,1260,1250,1240,1230,1220,1210,1200,1190,1180,1170,1160,1150,1140,1130,1120,1110,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000,990,980,970,960,950,940,930,920,910,900,890,880,870,860,850,840,830,820,810,800,790,780,770,760,750,740,730,720,710,700
0,15.194548,15.541119,10.506358,7.56402,6.658187,12.975602,9.715862,13.776788,15.659154,10.953484,13.025976,14.8921,14.532481,19.574206,14.548148,5.635958,9.651061,16.392278,13.134568,13.825091,13.703853,10.932397,10.928062,8.458757,11.014139,15.595921,12.053418,10.843837,9.362017,11.822329,14.827881,17.198188,18.97858,14.477539,13.351688,13.124741,13.781222,16.569664,14.157077,11.592027,11.919511,11.946378,14.449781,12.701332,6.803764,7.73761,10.84018,11.979058,12.417537,11.937972,12.203486,10.695078,9.666378,11.756619,11.945832,9.008775,8.297385,8.911181,8.86488,9.14004,10.433861,10.036873,8.638994,8.311093,9.956737,12.731639,14.230304,14.347694,13.922072,15.535024,17.023265,19.039756,20.726412,21.798449,22.92041,23.515753,25.059055,27.509191,28.48284,28.045907,26.98863,26.671445,27.187352,27.61572,26.356111,25.363926,25.077454,25.243829,25.066338,26.2302,29.719838,32.435858,35.078884,37.615692,39.598223,41.470599,41.784706,41.143935,40.893612,39.553818,39.974882,41.060854,41.039889,38.222124,37.597042,36.753422,35.119136,38.236693,36.984262,35.455178,37.353781,38.97434,42.392549,44.41564,48.698886,44.296015,32.691877,40.266406,46.368253,55.510901,43.12644,36.990187,36.339789,36.305367,36.081824,35.720083,35.174608,34.625791,34.044335,33.467332,32.79968,32.214952,31.645672,31.001761,30.488235,29.953844
1,17.518054,19.335856,12.58579,8.188911,8.44109,11.847513,15.701839,20.39873,20.844015,13.70247,8.623474,15.073615,15.631756,16.379334,16.392798,9.969476,8.247897,7.649271,14.60943,14.530293,13.457157,17.594328,12.054195,11.070532,14.037508,14.591523,12.369898,10.916479,10.835048,12.55883,14.55412,16.133394,12.994105,12.750743,14.388604,13.68866,14.047929,15.548696,16.272748,14.063228,12.845143,13.112095,14.771885,13.28661,9.503973,8.210002,8.36383,11.291898,14.112927,13.643004,10.831856,9.557799,11.067383,10.821699,11.268302,10.337088,8.289258,8.453265,8.754239,9.545849,10.578393,10.396881,9.3205,8.985999,10.09184,12.033327,12.174281,12.582319,13.382725,14.196389,16.503266,18.478742,19.80187,21.92364,23.426098,24.808852,25.872883,26.748344,26.212775,25.477217,25.50446,26.125547,26.697192,26.36436,25.614429,25.204908,26.071526,26.334788,24.712155,26.161941,29.527422,32.810278,34.276236,36.44037,37.740114,38.94017,40.567063,39.630307,39.097352,38.62867,38.824797,39.958659,40.482785,39.090336,35.578375,34.650637,35.504441,36.134302,36.523005,36.791773,38.924572,37.205751,40.279347,42.638641,43.025627,45.062744,41.825823,43.023516,42.159083,52.244312,42.209315,36.114022,35.703551,35.611046,35.587145,35.246349,34.6665,34.225591,33.642676,33.084984,32.562326,32.055825,31.503567,30.858418,30.343958,29.827788
2,14.666036,24.027782,18.125187,7.306519,5.602639,8.934588,15.210893,13.07643,9.849781,10.873731,10.331069,11.041363,13.453476,15.326834,15.824543,12.796903,9.655267,7.836282,10.249631,18.744346,19.204843,13.49374,8.870267,10.335616,11.376853,15.66559,15.46185,12.640845,11.162347,10.718831,12.463809,17.074835,15.798279,13.239366,11.565443,12.405572,12.490338,16.342603,16.943853,13.516886,11.327722,10.379402,13.484136,12.732429,10.1126,10.203232,9.49986,10.631011,13.005405,12.786604,11.524777,10.266774,9.883148,11.144995,11.247144,10.662679,9.332042,9.239373,10.623665,10.847311,9.416855,8.968296,8.347108,7.251892,8.128512,10.759463,12.719862,12.579137,14.276154,16.137617,17.434856,19.982287,21.666635,22.594957,24.241538,26.156206,28.09442,29.584126,30.533901,29.681455,29.091371,28.470915,28.271987,28.174945,27.71168,27.510335,26.912859,26.859586,26.913031,29.00871,32.294346,34.455771,37.88432,41.943289,43.110412,43.818073,44.945682,45.486717,45.557919,44.569715,43.514548,44.726261,44.640731,41.86138,39.44371,38.950058,38.348647,39.075398,39.727974,38.349021,41.534033,44.844312,43.109202,42.117831,48.950263,50.900755,43.434033,51.834291,53.556888,53.907128,43.086515,38.954239,38.546066,38.1754,37.578505,36.910177,35.997784,35.134139,34.226645,33.246943,32.019716,31.048824,30.387273,29.859098,29.449216,29.054685
3,18.789835,19.330015,14.064499,13.059832,6.760748,3.96101,11.715274,12.0044,13.854426,12.775683,6.957734,11.387259,13.899898,21.281875,14.614192,9.729063,12.191935,11.13243,14.747358,17.298744,15.602217,10.315918,8.680499,9.921276,12.240794,15.56631,15.409895,11.132501,8.644348,9.591907,11.772775,14.41562,14.543543,13.452808,12.793177,11.4103,14.47006,17.902355,13.483224,12.759335,13.120751,13.575181,13.483661,10.390108,9.168476,9.536023,9.813604,11.317127,13.526395,13.164637,10.851564,9.382109,8.847377,10.825425,11.456341,11.42277,10.78608,8.421355,8.944729,9.921665,9.402336,10.026834,9.186972,8.887347,10.238249,11.503868,14.150788,15.106288,12.96247,12.824298,15.764654,18.294324,20.236629,21.441753,22.657111,23.713801,24.513141,26.074523,27.477098,26.626235,25.766177,24.988275,25.474451,27.270366,26.582841,24.43963,24.551691,25.03446,24.615473,25.741157,29.191455,31.807679,34.202829,35.064498,36.890988,39.657327,40.690099,39.62984,39.493331,39.526404,39.017962,39.416945,39.739317,37.101113,35.470874,35.400218,34.524822,36.176978,38.308509,33.75967,36.234354,34.698116,39.761376,41.909273,43.587972,46.092452,46.640137,37.091444,37.209064,48.753054,39.915402,34.881033,34.609139,34.500418,34.221899,33.926741,33.327542,32.814276,32.22863,31.625979,31.037079,30.470682,29.831338,29.119447,28.598053,28.172117
4,15.865316,20.268189,16.378214,9.464296,11.462686,11.866321,12.964284,15.620503,10.717507,6.677075,4.095125,14.541064,15.850712,16.455214,18.29496,17.203761,8.512619,7.147919,15.272166,18.94176,18.964374,14.194816,8.325438,9.350821,13.558908,17.410279,15.839214,11.663082,9.726362,10.685459,13.532226,16.428066,15.830034,11.426948,9.835535,14.263735,16.496902,18.370698,17.74916,13.402074,11.426051,12.799314,14.147928,13.092229,9.392079,8.412843,11.027193,12.188288,12.851139,12.3161,11.16652,9.549325,9.05709,10.527447,10.789009,11.56975,11.167757,9.079064,9.983246,11.422151,12.468911,9.966411,6.936589,8.69323,9.509785,10.588908,12.357933,13.223653,15.481178,16.165498,16.851194,18.866125,20.086107,21.5244,22.65011,24.302445,27.364345,27.043551,26.589319,26.387115,25.822273,25.499331,25.107306,26.062485,26.782408,25.970751,24.63273,25.018523,24.622474,25.44061,29.132134,31.66129,33.086879,35.261834,36.094453,38.420827,40.039538,39.35945,40.395508,39.680502,38.336871,39.952373,39.923501,38.344213,36.022584,34.264115,34.397361,33.93671,36.44874,36.871722,36.501561,37.127522,42.028685,43.396804,45.053149,50.728435,51.281131,36.827046,43.655734,45.704099,37.849253,35.702017,35.226078,35.030561,34.789914,34.60593,34.27064,33.669047,33.056329,32.574332,32.020489,31.476387,30.838213,30.317883,29.835671,29.264837
5,18.983673,25.160927,23.573019,13.331001,5.07198,11.82756,14.173643,16.05259,15.113023,12.766101,8.763994,11.957883,14.978425,15.080226,17.893192,11.368363,4.86613,10.038695,16.538678,19.114837,13.648862,9.99636,11.407715,11.244463,9.782277,13.289379,14.645764,13.130488,11.915951,11.276111,13.122643,16.118584,17.672373,14.333859,11.383982,13.444444,13.377996,13.888354,14.869693,13.333685,12.279702,13.488047,14.514715,13.057233,10.561824,8.20879,7.854149,8.310697,11.704311,12.668457,10.765435,10.926602,10.851178,10.137563,11.596441,12.382212,10.308488,8.880407,9.583713,9.621165,10.594421,9.613158,8.426943,8.280522,9.583743,10.251489,12.581109,15.135206,15.094574,14.658352,16.793584,18.639884,20.308087,22.444033,24.215521,26.402628,27.345024,28.589362,29.462581,29.030494,29.130884,27.229591,26.243197,26.866597,27.197105,26.627133,25.421327,25.647389,26.246856,28.717017,31.576591,34.639374,37.463368,39.964067,42.080809,43.833311,42.848673,43.959267,44.340804,41.738975,43.190451,43.868396,43.075778,42.573771,39.766865,38.149029,36.648572,37.916199,37.760193,35.535851,37.876187,41.914391,45.005947,46.460848,49.604578,47.761467,44.622092,40.416107,49.928021,48.813904,40.608368,37.913793,37.400551,36.976904,36.271609,35.649859,34.786928,33.785902,32.784564,31.725666,30.599798,29.519026,28.72016,28.166431,27.730821,27.300435
6,15.110785,19.737384,18.489055,7.471443,10.094603,10.95161,9.112476,14.503857,13.101502,7.448114,9.263905,10.656346,16.079516,24.546869,12.786696,11.062467,9.785479,11.611048,11.649798,12.728551,15.138044,16.939795,11.206427,7.590041,12.108055,14.322623,11.465194,10.533561,11.938271,10.828242,9.0616,13.724898,18.36235,16.702398,12.162511,12.157265,13.965514,14.603383,15.534448,12.724038,9.828439,12.878683,13.800726,12.05358,10.551736,9.072961,9.470811,11.785098,12.519045,11.302517,10.255574,9.316201,10.576264,11.672738,10.842571,10.483026,9.48768,9.494938,9.946907,9.902405,10.052967,9.9225,8.769898,7.352514,9.084879,11.474148,12.173243,11.657238,13.13608,15.462629,15.534122,18.229602,20.710637,21.174278,22.197498,23.118139,23.950761,25.780936,27.347473,27.134105,26.987967,26.52448,25.366718,25.560533,25.636593,25.233589,24.574616,24.988735,25.052905,26.248192,28.114251,31.436012,34.543186,35.709621,36.910284,38.948456,40.370415,40.033418,39.15778,38.724011,39.280857,40.793568,39.821124,36.392845,34.800353,34.897984,34.646438,35.921296,38.427926,32.050943,32.339366,40.241665,44.092192,43.064098,43.746823,43.713191,44.856748,45.263525,51.391583,63.976059,45.028932,35.818351,35.184037,35.180918,34.662246,34.288874,33.946464,33.364055,32.749903,32.292867,31.783392,31.195173,30.596573,30.017644,29.497687,28.974715
7,4.055464,14.994321,14.766704,13.535744,10.498343,11.798155,10.830403,14.566568,12.533312,14.925912,10.115304,9.439237,12.454022,18.936402,15.50643,13.002143,11.361832,13.292124,14.140667,17.061963,17.909952,13.025088,10.420092,7.186015,9.47372,14.98989,13.849529,10.3779,10.987492,12.643422,13.542127,16.189385,15.377791,11.848262,11.532407,12.378333,14.067764,15.954182,14.28654,15.523658,13.057649,10.100842,12.525051,13.070414,9.159396,7.253368,9.703296,11.07508,13.435382,13.313197,10.917891,9.943922,9.587724,9.671632,10.425608,12.427386,10.895698,7.499652,8.345239,10.154131,10.147813,9.934416,9.659613,9.543498,10.701594,12.097215,12.682415,13.77842,14.065885,14.518006,16.331857,17.571222,19.661677,19.932605,20.895196,23.056771,24.220673,25.991118,26.550507,26.321666,25.570221,24.60795,24.085222,24.403932,24.99743,26.031875,24.327443,23.368614,23.932459,25.206608,26.478814,29.927413,32.768185,33.799959,35.781458,36.663365,37.768458,37.159992,37.471363,37.837223,36.305502,36.866496,37.574129,37.19706,36.605049,34.686537,34.090493,34.105164,34.607793,36.078566,36.467919,40.047312,36.205096,37.882277,43.903737,45.754417,42.358702,43.198355,48.587017,46.611522,37.548763,34.785055,34.31309,34.229777,33.909971,33.547619,33.064507,32.601196,32.108591,31.58378,31.060771,30.512471,29.872435,29.221785,28.811411,28.384464
8,12.501349,13.758903,18.29408,11.766223,12.288481,11.114389,9.205474,15.217427,16.24546,14.573364,13.867593,10.674717,6.375643,14.724611,25.211433,20.038298,8.235004,10.118541,10.441079,9.873998,15.562266,13.727432,11.716029,9.620015,10.255575,14.109879,17.64093,15.580893,11.177999,9.93492,12.606938,17.643445,15.208969,14.937464,14.085858,11.924855,13.859819,14.475015,11.645244,11.110141,12.33259,12.663868,13.579779,11.445745,8.417139,8.464533,9.632098,10.759338,13.082776,13.065628,11.56173,9.683305,8.147486,8.914219,9.836903,10.573847,10.917716,9.971129,8.948459,7.93555,8.116818,9.387883,9.611355,8.821422,9.07527,9.761402,11.660864,14.410489,15.764763,15.822522,16.660297,18.437865,20.885479,23.258666,24.643062,25.500598,26.667771,28.285195,30.043696,29.8738,29.103121,28.864152,27.547094,27.329638,27.094303,27.525193,26.661063,26.04668,26.978968,28.434748,30.897432,34.661493,39.19022,42.349397,43.096224,43.023581,44.354979,44.165025,45.431793,45.237471,45.090045,45.410763,44.652201,43.032895,39.262361,40.466936,39.923806,38.069458,39.768213,40.275957,40.446231,43.791881,47.036976,49.498162,50.646521,50.010914,50.086846,40.179553,50.256762,57.419493,44.404911,39.195907,38.828438,38.326427,37.78788,37.212179,36.321117,35.4059,34.604772,33.462548,32.31613,31.274262,30.568048,30.05891,29.652356,29.187588
9,14.034641,19.368224,19.764707,13.85639,10.352561,6.703805,2.443907,10.694163,16.430852,13.505953,9.447597,8.679483,14.044179,21.957053,19.152984,11.813267,8.602048,7.550358,3.777877,10.767888,17.5709,17.043713,11.913092,8.52411,7.753128,12.822014,17.020317,14.569618,9.976606,8.476976,7.999335,12.442635,16.172605,14.191879,14.433524,11.90115,9.750074,11.974501,14.188448,14.989209,11.206195,9.762274,12.108922,11.448251,11.010315,9.846255,9.032044,9.430544,11.432224,12.736199,11.230857,8.685844,9.833001,11.110315,11.260201,10.65283,9.950908,10.253208,10.159966,9.998898,10.167612,11.095317,10.472022,8.954866,7.403252,7.896558,10.544044,13.699903,13.830144,13.499759,14.405582,15.554069,18.133921,20.634633,21.090092,22.964956,24.594514,24.481528,25.531956,25.826848,25.389141,24.599026,23.456101,23.997119,24.884914,25.327815,24.478294,23.940371,22.813716,24.389791,27.297816,29.978488,32.223784,33.981228,35.177884,36.004019,37.420506,37.350993,37.509106,37.626894,37.446308,39.256821,39.516172,36.213412,33.892116,33.733801,33.251816,34.667927,33.602763,31.279064,32.400783,36.333134,35.669537,36.486781,42.361072,47.30951,43.468976,43.32798,38.943698,30.109815,31.238018,32.949535,32.935048,32.649651,32.373777,32.058634,31.594833,31.129424,30.509091,30.024576,29.487367,28.867666,28.234627,27.67194,27.165504,26.695787
